"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"100","Sterling Shepard","NYG","9","WR43","93","114","112","100","109","","105.6"
"101","Peyton Barber","LV","","RB37","97","106","97","162","70","","106.4"
"102","Matt Ryan","ATL","8","QB13","99","105","105","116","110","","107.0"
"103","Jack Doyle","IND","9 ","TE10","103","113","101","106","120","","108.6"
"104","Chris Thompson","RB38","80","61","96","233","75","","109.0"
"105","Philip Rivers","QB14","118","111","98","110","108","","109.0"
"106","Ronald Jones II","TB","5","RB39","171","102","115","55","119","","112.4"
"107","David Njoku","CLE","11","TE11","117","107","111","129","99","","112.6"
"108","Kelvin Benjamin","WR44","109","112","122","105","121","","113.8"
"109","Kenny Stills","NO","6","WR45","123","117","110","118","111","","115.8"
"110","James White","NE","11","RB40","121","108","114","133","104","","116.0"
"111","Aaron Jones","GB","7 ","RB41","146","110","124","104","100","","116.8"
"112","Patrick Mahomes II","KC","12","QB15","122","120","119","120","123","","120.8"
"113","Jared Goff","DET","6","QB16","120","130","117","111","127","","121.0"
"114","DeVante Parker","MIA","11","WR46","151","116","106","89","164","","125.2"
"115","Allen Hurns","MIA","11","WR47","128","118","135","113","132","","125.2"
"116","Adrian Peterson","SEA","7","RB42","90","140","103","214","80","","125.4"
"117","Nick Chubb","CLE","11","RB43","156","124","127","97","133","","127.4"
"118","C.J. Anderson","RB44","168","99","144","101","139","","130.2"
"119","Greg Zuerlein","DAL","8","K1","96","158","150","119","148","","134.2"
"120","Alex Smith ","QB17","116","153","140","127","136","","134.4"
"121","Matt Breida","BUF","11 ","RB45","127","132","137","161","117","","134.8"
"122","Calvin Ridley","ATL","8","WR48","158","135","132","128","125","","135.6"
"123","Stephen Gostkowski","K2","94","156","145","132","154","","136.2"
"124","Keelan Cole Sr.","NYJ","11","WR49","133","136","116","181","116","","136.4"
"125","George Kittle","SF","11","TE12","163","129","138","117","137","","136.8"
"126","Ty Montgomery","NO","6","RB46","154","131","151","109","141","","137.2"
"127","Marcus Mariota","LV","","QB18","131","147","143","124","142","","137.4"
"128","Tyler Eifert ","TE13","136","133","131","134","153","","137.4"
"129","Jacksonville Jaguars","DST","9","DST1","65","96","87","","96","","86.0"
"130","Derek Carr","LV","","QB19","114","142","148","143","145","","138.4"
"131","DJ Moore","CAR","4","WR50","178","123","134","122","138","","139.0"
"132","Giovani Bernard","TB","5","RB47","167","141","126","126","147","","141.4"
"133","Dak Prescott","DAL","8","QB20","113","150","139","141","166","","141.8"
"134","Justin Tucker","BAL","10","K3","124","161","130","137","159","","142.2"
"135","Bilal Powell ","RB48","165","149","133","150","115","","142.4"
"136","Latavius Murray","BAL","10","RB49","159","146","136","144","128","","142.6"
"137","Michael Gallup","DAL","8","WR51","157","121","156","158","129","","144.2"
"138","Kenny Golladay","NYG","9","WR52","150","152","142","139","140","","144.6"
"139","Corey Clement","DAL","8","RB50","160","144","155","131","134","","144.8"
"140","Alfred Morris","NYG","9","RB51","68","173","123","249","112","","145.0"
"141","Josh Doctson","WR53","126","151","146","147","171","","148.2"
"142","Tyler Lockett","SEA","7","WR54","140","168","152","155","135","","150.0"
"143","Los Angeles Rams","DST","12","DST2","84","115","113","","107","","104.8"
"144","Cameron Meredith ","WR55","177","125","173","135","155","","153.0"
"145","Theo Riddick","RB52","172","126","176","123","175","","154.4"
"146","Minnesota Vikings","DST","10","DST3","95","119","121","","113","","112.0"
"147","Philadelphia Eagles","DST","9","DST4","85","127","120","","124","","114.0"
"148","LeGarrette Blount","RB53","144","164","199","138","165","","162.0"
"149","Jordan Wilkins","TEN","8","RB54","170","145","170","194","150","","165.8"
"150","Anthony Miller","PIT","7","WR56","185","166","160","170","149","","166.0"
"151","Chris Godwin","TB","5","WR57","176","155","168","191","143","","166.6"
"152","James Conner","ARI","9","RB55","119","180","163","227","157","","169.2"
"153","Mike Williams","LAC","8","WR58","162","122","125","372","105","","177.2"
"154","John Brown","TB","5","WR59","188","154","164","234","126","","173.2"
"155","Baltimore Ravens","DST","10","DST5","115","138","147","","131","","132.8"
"156","Los Angeles Chargers","DST","8","DST6","147","134","128","","122","","132.8"
"157","Mitchell Trubisky","BUF","11","QB21","155","218","179","157","170","","175.8"
"158","Wil Lutz","NO","6","K4","181","169","191","172","169","","176.4"
"159","Matt Bryant","K5","137","177","211","190","176","","178.2"
"160","Chris Boswell","PIT","7 ","K6","132","176","196","207","182","","178.6"
"161","Harrison Butker","KC","12","K7","193","167","177","177","183","","179.4"
"162","Houston Texans","DST","10","DST7","129","137","157","","130","","138.3"
"163","John Ross","NYG","9","WR60","141","191","165","246","158","","180.2"
"164","Devontae Booker","NYG","9","RB56","","128","141","121","174","","141.0"
"165","Jake Elliott","PHI","9","K8","189","178","212","164","184","","185.4"
"166",".J. Howard","TB","5 O","TE14","","160","129","142","160","","147.8"
"167","Danny Amendola","HOU","10","WR61","149","225","204","193","167","","187.6"
"168","Denver Broncos","DST","10","DST8","164","139","159","","144","","151.5"
"169","Courtland Sutton","DEN","10","WR62","180","216","184","215","177","","194.4"
"170","Robbie Gould","SF","11","K9","187","185","214","199","187","","194.4"
"171","Mohamed Sanu Sr.","SF","11","WR63","130","204","149","149","","","158.0"
"172","Austin Seferian-Jenkins","TE15","161","143","185","156","","","161.3"
"173","Dez Bryant ","WR64","173","189","169","115","","","161.5"
"174","Rishard Matthews","WR65","175","186","167","125","","","163.3"
"175","New Orleans Saints","DST","6","DST9","174","157","175","","151","","164.3"
"176","Jameis Winston","NO","6 ","QB22","","171","166","159","162","","164.5"
"177","Matt Prater","ARI","9","K10","190","201","224","210","186","","202.2"
"178","DeSean Jackson","LV","","WR66","184","192","161","136","","","168.3"
"179","Dede Westbrook","MIN","10","WR67","","148","186","184","156","","168.5"
"180","Chicago Bears","DST","5","DST10","152","188","187","","152","","169.8"
"181","Jared Cook","LAC","8","TE16","148","197","174","165","","","171.0"
"182","Paul Richardson Jr. ","WR68","142","172","217","154","","","171.3"
"183","New England Patriots","DST","11","DST11","134","175","206","","172","","171.8"
"184","Pittsburgh Steelers","DST","7","DST12","145","179","197","","180","","175.3"
"185","Mason Crosby","GB","7","K11","179","226","244","212","185","","209.2"
"186","Eric Ebron","PIT","7","TE17","","195","171","168","168","","175.5"
"187","Cameron Brate","TB","5","TE18","169","181","207","146","","","175.8"
"188","Eli Manning","QB23","","193","181","169","163","","176.5"
"189","Austin Ekeler","LAC","8","RB57","","159","192","189","173","","178.3"
"190","Carolina Panthers","DST","4","DST13","182","194","162","","179","","179.3"
"191","Charles Clay","TE19","139","202","203","174","","","179.5"
"192","Benjamin Watson","TE20","143","208","222","176","","","187.3"
"193","Geronimo Allison ","WR69","","207","193","217","146","","190.8"
"194","Tyrod Taylor","HOU","10","QB24","138","238","215","196","","","196.8"
"195","Ricky Seals-Jones","WAS","4","TE21","","220","225","188","161","","198.5"
"196","Arizona Cardinals","DST","9","DST14","166","222","231","","178","","199.3"
"197","Marqise Lee ","WR70","","203","158","107","","","156.0"
"198","D'Onta Foreman","TEN","8","RB58","","163","200","130","","","164.3"
"199","Antonio Gates","TE22","135","243","195","284","","","214.3"
"200","Adam Vinatieri","K12","191","269","234","319","189","","240.4"
"201","Doug Martin","RB59","","162","205","153","","","173.3"
"202","Nyheim Hines","IND","9","RB60","","182","209","145","","","178.7"
"203","Mike Gesicki","MIA","11","TE23","","174","183","182","","","179.7"
"204","Javorius Allen","RB61","","183","178","186","","","182.3"
"205","Tyrell Williams","WR71","","198","172","179","","","183.0"
"206","Daniel Carlson","LV","","K13","","228","258","221","188","","223.8"
"207","Blake Bortles","NO","6","QB25","","206","180","166","","","184.0"
"208","Andy Dalton","CHI","5 ","QB26","","190","190","173","","","184.3"
"209","Ted Ginn Jr.","WR72","","247","153","163","","","187.7"
"210","Case Keenum","CLE","11","QB27","","209","188","167","","","188.0"
"211","Mike Wallace ","WR73","186","240","267","218","","","227.8"
"212","Christian Kirk","ARI","9 ","WR74","","214","182","171","","","189.0"
"213","Martavis Bryant ","WR75","","205","226","140","","","190.3"
"214","Vance McDonald","TE24","","212","194","175","","","193.7"
"215","T.J. Yeldon","RB62","","165","201","220","","","195.3"
"216","Austin Hooper","CLE","11","TE25","","199","210","178","","","195.7"
"217","Robert Kelley","RB63","","219","189","195","","","201.0"
"218","Hayden Hurst","ATL","8","TE26","","200","213","200","","","204.3"
"219","Graham Gano","NYG","9 ","K14","192","260","237","270","","","239.8"
"220","Frank Gore ","RB64","","217","229","180","","","208.7"
"221","Spencer Ware","RB65","","210","208","211","","","209.7"
"222","Samaje Perine","CIN","9","RB66","","187","246","198","","","210.3"
"223","Chris Ivory","RB67","","221","230","192","","","214.3"
"224","Atlanta Falcons","DST","8","DST15","","227","241","","181","","216.3"
"225","Ryan Tannehill","TEN","8","QB28","","237","227","187","","","217.0"
"226","Donte Moncrief","HOU","10","WR76","","235","221","205","","","220.3"
"227","Tennessee Titans","DST","8","DST16","183","246","235","","","","221.3"
"228","James Washington","PIT","7","WR77","","239","216","228","","","227.7"
"229","Kalen Ballage","PIT","7","RB68","","232","250","204","","","228.7"
"230","Joe Flacco","NYJ","11","QB29","","248","223","216","","","229.0"
"231","Terrance Williams","WR78","","256","218","229","","","234.3"
"232","Baker Mayfield","CLE","11","QB30","","262","202","243","","","235.7"
"233","Ryan Succop","TB","5","K15","","215","263","242","","","240.0"
"234","Taywan Taylor","WR79","","231","240","251","","","240.7"
"235","Quincy Enunwa","WR80","","229","261","237","","","242.3"
"236","Kenneth Dixon","RB69","","251","282","202","","","245.0"
"237","Chase Edmonds","ARI","9","RB70","","224","254","257","","","245.0"
"238","Tre'Quan Smith","NO","6","WR81","","234","253","253","","","246.7"
"239","Darren Sproles","RB71","","241","280","222","","","247.7"
"240","Cole Beasley","BUF","11","WR82","","264","249","231","","","248.0"
"241","Phillip Dorsett II","HOU","10","WR83","","213","265","267","","","248.3"
"242","Kansas City Chiefs","DST","12","DST17","","184","220","","","","202.0"
"243","John Kelly","CLE","11","RB72","","245","245","266","","","252.0"
"244","Seattle Seahawks","DST","7","DST18","","196","219","","","","207.5"
"245","Jonathan Stewart","RB73","","244","291","230","","","255.0"
"246","Terrelle Pryor Sr.","WR84","","254","300","213","","","255.7"
"247","Lamar Jackson","BAL","10","QB31","","311","233","223","","","255.7"
"248","Dallas Goedert","PHI","9","TE27","","266","242","259","","","255.7"
"249","Sam Darnold","CAR","4","QB32","","318","198","254","","","256.7"
"250","Cordarrelle Patterson","ATL","8","RB74","","287","286","203","","","258.7"
"251","Brandon Marshall","WR85","","242","287","248","","","259.0"
"252","Brandon McManus","DEN","10","K16","","249","255","278","","","260.7"
"253","Sam Bradford","QB33","","279","251","255","","","261.7"
"254","Josh Lambo","K17","","282","269","240","","","263.7"
"255","Rod Smith","RB75","","259","264","272","","","265.0"
"256","Dante Pettis","NYG","9 ","WR86","","276","270","250","","","265.3"
"257","Jermaine Kearse","WR87","","310","281","206","","","265.7"
"258","Dan Bailey","K18","","223","232","343","","","266.0"
"259","Pharoh Cooper","NYG","9","WR88","","","","112","","","112.0"
"260","Jake Butt ","TE28","","295","283","224","","","267.3"
"261","Detroit Lions","DST","6","DST19","","233","238","","","","235.5"
"262","Tavon Austin","JAC","9","WR89","","315","301","209","","","275.0"
"263","Vernon Davis","TE29","","308","262","258","","","276.0"
"264","Nick Foles","CHI","5","QB34","","261","285","282","","","276.0"
"265","Corey Coleman","WR90","","293","295","241","","","276.3"
"266","Travis Benjamin","SF","11","WR91","","281","297","252","","","276.7"
"267","Albert Wilson","MIA","11 ","WR92","","275","310","247","","","277.3"
"268","Ryan Grant ","WR93","","230","259","369","","","286.0"
"269","Alex Erickson","CAR","4","WR94","","","","151","","","151.0"
"270","Antonio Callaway","WR95","","271","279","292","","","280.7"
"271","Ameer Abdullah","CAR","4","RB76","","274","289","279","","","280.7"
"272","Hunter Henry","NE","11","TE30","","","154","461","","","307.5"
"273","Dallas Cowboys","DST","8","DST20","","257","243","","","","250.0"
"274","Josh Rosen","ATL","8","QB35","","341","228","277","","","282.0"
"275","Ryan Griffin","NYJ","11","TE31","","305","296","245","","","282.0"
"276","Ryan Switzer","CLE","11","WR96","","","","160","","","160.0"
"277","C.J. Prosise ","RB77","","258","313","283","","","284.7"
"278","Josh Allen","BUF","11","QB36","","332","248","275","","","285.0"
"279","Stephen Hauschka","K19","","299","266","290","","","285.0"
"280","Green Bay Packers","DST","7","DST21","","255","257","","","","256.0"
"281","Wayne Gallman Jr.","MIN","10","RB78","","265","293","301","","","286.3"
"282","Ka'imi Fairbairn","HOU","10","K20","","","284","232","","","258.0"
"283","Cleveland Browns","DST","11","DST22","","263","256","","","","259.5"
"284","Nick Vannett","NO","6","TE32","","335","236","294","","","288.3"
"285","D.J. Chark Jr.","JAC","9","WR97","","319","288","264","","","290.3"
"286","Jakeem Grant Sr.","CHI","5","WR98","","","","183","","","183.0"
"287","Ed Dickson","TE33","","344","294","235","","","291.0"
"288","Mike Gillislee","RB79","","267","302","304","","","291.0"
"289","Andre Roberts","LAC","8","WR99","","","","185","","","185.0"
"290","Dustin Hopkins","LAC","8","K21","","292","275","313","","","293.3"
"291","Kevin White","N","6 O","WR100","","277","304","299","","","293.3"
"292","Laquon Treadwell","JAC","9","WR101","","250","312","322","","","294.7"
"293","Phil Dawson ","K22","","278","271","339","","","296.0"
"294","Jordan Matthews","SF","11","WR102","","","","201","","","201.0"
"295","Jaylen Samuels","HOU","10","RB80","","321","","225","","","273.0"
"296","Willie Snead IV","CAR","4","WR103","","","308","238","","","273.0"
"297","Corey Grant ","RB81","","314","307","271","","","297.3"
"298","Luke Willson","TE34","","337","303","256","","","298.7"
"299","Chris Warren III","RB82","","253","299","","","","276.0"
"300","Trevor Davis","WR104","","","","208","","","208.0"
"301","Kai Forbath","LAR","12","K23","","284","","269","","","276.5"
"302","Buffalo Bills","DST","11","DST23","","316","239","","","","277.5"
"303","Malcolm Brown","MIA","11 ","RB83","","252","","305","","","278.5"
"304","Elijah McGuire","KC","12","RB84","","317","","244","","","280.5"
"305","Cincinnati Bengals","DST","9","DST24","","285","276","","","","280.5"
"306","Sebastian Janikowski","K24","","294","268","355","","","305.7"
"307","Zay Jones","LV","","WR105","","296","","268","","","282.0"
"308","Caleb Sturgis","K25","","312","252","354","","","306.0"
"309","Geoff Swaim","TEN","8 ","TE35","","","277","289","","","283.0"
"310","New York Giants","DST","9","DST25","","288","278","","","","283.0"
"311","Taylor Gabriel","WR106","","333","","236","","","284.5"
"312","Jesse James","CHI","5","TE36","","","306","263","","","284.5"
"313","Jonathan Williams","WAS","4","RB85","","280","290","","","","285.0"
"314","Virgil Green","TE37","","339","298","280","","","305.7"
"315","J'Mon Moore","ATL","8","WR107","","270","","310","","","290.0"
"316","Brandon Zylstra","CAR","4","WR108","","","","239","","","239.0"
"317","Cairo Santos","CHI","5","K26","","","247","363","","","305.0"
"318","Jake Kumerow","BUF","11","WR109","","302","","291","","","296.5"
"319","Alfred Blue","RB86","","290","305","370","","","321.7"
"320","Washington Football Team","DST","4","DST26","","336","260","","","","298.0"
"321","Torrey Smith","WR110","","272","","324","","","298.0"
"322","San Francisco 49ers","DST","11","DST27","","328","272","","","","300.0"
"323","J.J. Nelson","IND","9","WR111","","297","","303","","","300.0"
"324","Stephen Anderson","LAC","8","TE38","","343","","260","","","301.5"
"325","Tampa Bay Buccaneers","DST","5","DST28","","331","274","","","","302.5"
"326","Mark Andrews","BAL","10","TE39","","","","261","","","261.0"
"327","Adam Shaheen","MIA","11","TE40","","","","262","","","262.0"
"328","Tyler Kroft","NYJ","11 ","TE41","","334","","273","","","303.5"
"329","Rico Gathers","TE42","","","","265","","","265.0"
"330","Boston Scott","PHI","9","RB87","","268","","406","","","337.0"
"331","Jaron Brown","ARI","9","WR112","","338","311","311","","","320.0"
"332","Gerald Everett","SEA","7","TE43","","342","","274","","","308.0"
"333","Tyler Boyd","CIN","9","WR113","","307","309","371","","","329.0"
"334","Brett Maher","NO","6","K27","","273","","393","","","333.0"
"335","Curtis Samuel","WAS","4","WR114","","","","276","","","276.0"
"336","Blake Jarwin","DAL","8","TE44","","","","281","","","281.0"
"337","Adam Humphries","WAS","4","WR115","","","292","335","","","313.5"
"338","Joe Williams","RB88","","330","","298","","","314.0"
"339","Jalen Richard","LV","","RB89","","301","","327","","","314.0"
"340","Wendell Smallwood","WAS","4","RB90","","283","","381","","","332.0"
"341","Cameron Artis-Payne","RB91","","","","285","","","285.0"
"342","John Conner","RB92","","286","","","","","286.0"
"343","Travaris Cadet","RB93","","","","286","","","286.0"
"344","Trent Taylor","CIN","9","WR116","","322","","309","","","315.5"
"345","Chester Rogers","TEN","8","WR117","","","","287","","","287.0"
"346","Keke Coutee","IND","9","WR118","","","","288","","","288.0"
"347","Cody Parkey","K28","","289","","392","","","340.5"
"348","Shane Vereen","RB94","","291","","","","","291.0"
"349","Garrett Celek","TE45","","","","293","","","293.0"
"350","Christine Michael","RB95","","298","","341","","","319.5"
"351","Stevan Ridley","RB96","","324","","315","","","319.5"
"352","Brice Butler","WR119","","","","296","","","296.0"
"353","Matt Barkley","ATL","8","QB37","","","","297","","","297.0"
"354","Jeremy Maclin ","WR120","","","","300","","","300.0"
"355","Chandler Catanzaro","K29","","300","","414","","","357.0"
"356","Charles Sims","RB97","","","","302","","","302.0"
"357","Phillip Lindsay","MIA","11","RB98","","303","","344","","","323.5"
"358","J.D. McKissic","WAS","4","RB99","","323","","325","","","324.0"
"359","Aldrick Rosas","DET","6","K30","","304","","357","","","330.5"
"360","New York Jets","DST","11","DST29","","306","","","","","306.0"
"361","Jonnu Smith","NE","11 ","TE46","","","","306","","","306.0"
"362","Jacoby Brissett","MIA","11","QB38","","","","307","","","307.0"
"363","Josh McCown","QB39","","","","308","","","308.0"
"364","DeAndre Washington","RB100","","309","","401","","","355.0"
"365","AJ McCarron","ATL","8","QB40","","","","312","","","312.0"
"366","Miami Dolphins","DST","11","DST30","","313","","","","","313.0"
"367","Kenny Britt","WR121","","","","314","","","314.0"
"368","Jacquizz Rodgers","RB101","","","","316","","","316.0"
"369","Ryan Fitzpatrick","WAS","4","QB41","","","","317","","","317.0"
"370","Dwayne Allen","TE47","","","","318","","","318.0"
"371","Robert Turbin ","RB102","","","","320","","","320.0"
"372","Kyle Juszczyk","SF","11","RB103","","320","","422","","","371.0"
"373","Brandon LaFell ","WR122","","","","321","","","321.0"
"374","Brian Hoyer","NE","11","QB42","","","","323","","","323.0"
"375","Las Vegas Raiders","DST","","DST31","","325","","","","","325.0"
"376","Steven Jackson","RB104","","","","326","","","326.0"
"377","Tyler Higbee","LAR","12","TE48","","326","","385","","","355.5"
"378","Marcus Murphy ","RB105","","327","","366","","","346.5"
"379","Peyton Hillis","RB106","","","","328","","","328.0"
"380","Orleans Darkwa","RB107","","","","329","","","329.0"
"381","Jordan Akins","HOU","10","TE49","","329","","356","","","342.5"
"382","Mark Walton","RB108","","","","330","","","330.0"
"383","Michael Roberts","TE50","","","","331","","","331.0"
"384","Chad Williams","WR123","","","","332","","","332.0"
"385","Cody Latimer","WR124","","","","333","","","333.0"
"386","Tyler Ervin","RB109","","","","334","","","334.0"
"387","Jordan Leggett","TE51","","","","336","","","336.0"
"388","Xavier Grimble","BAL","10","TE52","","","","337","","","337.0"
"389","Chris Johnson ","RB110","","","","338","","","338.0"
"390","Wes Welker","WR125","","","","340","","","340.0"
"391","Jeff Heuerman ","TE53","","340","","395","","","367.5"
"392","Brock Osweiler","QB43","","","","342","","","342.0"
"393","Dennis Pitta","TE54","","","","345","","","345.0"
"394","","1","","","","346","","","346.0"
"395","Randy Moss","WR126","","","","347","","","347.0"
"396","Tajae Sharpe","ATL","8","WR127","","","","348","","","348.0"
"397","Tony Romo","QB44","","","","349","","","349.0"
"398","Knowshon Moreno","RB111","","","","350","","","350.0"
"399","Marques Colston","WR128","","","","351","","","351.0"
"400","Akeem Hunt","RB112","","","","352","","","352.0"
"401","Malcolm Mitchell","WR129","","","","353","","","353.0"
"402","Kendall Wright","WR130","","","","358","","","358.0"
"403","Coby Fleener","TE55","","","","360","","","360.0"
"404","Rashard Higgins","CLE","11","WR131","","","","361","","","361.0"
"405","Damoun Patterson","WR132","","","","362","","","362.0"
"406","Landry Jones","QB45","","","","364","","","364.0"
"407","Thomas Rawls","RB113","","","","365","","","365.0"
"408","Trenton Cannon","SF","11","RB114","","","","367","","","367.0"
"409","Clive Walford","TE56","","","","368","","","368.0"
